	ra	dec	mag	x	y	z
69151	3.7178450456610324	1.2118265706490037	5.18	-0.294577415129405	-0.19142296197162428	0.9362592568971952
69167	3.7187006060603602	0.04205253895620454	4.99	-0.8373031535777821	-0.5451202208824936	0.04204014502499362
69193	3.720898411920934	-0.47579745369858284	5.07	-0.7438929212887828	-0.4866372655883227	-0.4580474794136094
69205	3.7214597098083755	-0.17930992626872647	4.18	-0.8231232740587922	-0.5391281261326222	-0.1783506078359755
69261	3.7240224640155413	0.9039054087426251	4.53	-0.5165648974903514	-0.34023504538312255	0.7857485733833229
69390	3.7299757820940935	0.17628890095986446	5.29	-0.8189467271487806	-0.5464147630324315	0.1753772072776635
69396	3.730433931022742	-0.9963408559083404	5.03	-0.4518649024693243	-0.30179046231083234	-0.8394883124705202
69451	3.7335289233853035	0.33479621296748546	-0.05	-0.7837870747961017	-0.5269868557764711	0.3285767417535801
69479	3.7350677801867875	-0.10472930207066819	4.07	-0.8244600240726875	-0.55618116282557	-0.10453794920535066
69491	3.7357303944373075	0.8965273085824993	4.75	-0.5173378726694396	-0.3494925809526681	0.7811635304857117
69510	3.7366820352119565	0.8043926689133651	4.18	-0.5743280466500302	-0.3887895604026994	0.7204095866609747
69656	3.743718155558447	0.619757778003389	4.8	-0.6708605657490595	-0.46105673527993923	0.5808380051062911
69673	3.7447462417543336	-1.4138521316653618	4.89	-0.12872195205252765	-0.08865982670818123	-0.9877095191339719
69751	3.748574010603346	-0.2333696323469512	4.52	-0.7991083629591407	-0.5549287948376267	-0.23125712293640052
69766	3.7492782509565257	0.2269678344638061	5.41	-0.7999162169791716	-0.5563256062681753	0.2250241445358213
69773	3.749856304004785	-0.8038653700397527	3.55	-0.5694667506949399	-0.39654080194873187	-0.7200437571723011
69789	3.7504566100010095	-0.0395407483631969	5.14	-0.8196571450691575	-0.5714888521574194	-0.03953044898395729
69804	3.7513844270313688	0.2846099335515043	4.84	-0.7867892159726532	-0.5496576964622321	0.2807830948418554
69813	3.751847550148386	-1.069415103882295	5.22	-0.39388523372933054	-0.27543884478132435	-0.8769195319044504
69846	3.7538793751970956	-0.9841300263159051	4.3	-0.45302087387316725	-0.31816908336360733	-0.8327908033994814
69867	3.7548899208340005	-0.6612231358393451	4.05	-0.64540646747072	-0.45426091937951524	-0.6140826563838488
69881	3.7555538440814584	-0.7886629762962288	4.78	-0.5760792308934425	-0.40603932761111566	-0.7094115760024873
70025	3.7628708751710565	-1.3981648505490487	5.06	-0.13967673064320926	-0.09998581446780543	-0.9851361569966022
70041	3.763882206206125	-1.02030406945859	4.76	-0.4250489482644354	-0.30491662755220195	-0.8522671188198504
70077	3.765710874929902	-0.6896113350020534	4.41	-0.6260505373606323	-0.45084667002123424	-0.6362373808581413
70083	3.765969009126272	-0.484398977304479	4.78	-0.7179892527649228	-0.5173362191247852	-0.4656765715555596
70104	3.767198419051377	0.14742127730492588	4.86	-0.801816044376212	-0.5792365526207408	0.14688787250458818
70177	3.770736114178707	0.10158044884739009	5.1	-0.8043639224098037	-0.5854191117481615	0.10140583772894429
70246	3.773447570438142	-0.4329517847703946	5.34	-0.7324786977385103	-0.53614459388063	-0.4195520609076665
70274	3.7751385326839375	0.9049662024086947	4.04	-0.49783709502911333	-0.36568637971352924	0.7864042843887527
70351	3.77923621670177	-0.7892627412403842	4.56	-0.5659610537983683	-0.4193131844234317	-0.7098341629931048
70353	3.7794239268628216	-0.7920177783712424	4.33	-0.5643088256932423	-0.4182536582044658	-0.7117720327768545
70380	3.78062794224731	0.33557270995169775	5.4	-0.757900049906278	-0.5631540176831841	0.32930998575711207
